,close,date,high,low,ma10,ma20,ma5,max_close,max_high,max_volume,min_close,min_low,min_volume,open,p_change,price_change,stock_code,turnover,v_ma10,v_ma20,v_ma5,volume
193,7.14,2016-11-21,7.24,7.07,7.113,7.011,7.154,7.29,7.36,285669.59,7.06,6.99,89291.75,7.08,0.7,0.05,000877,1.71,188982.2,179696.41,141404.8,150765.98
243,7.67,2017-02-06,7.71,7.47,7.456,7.313,7.522,13.75,13.89,2735338.0,7.67,7.47,340463.69,7.52,2.27,0.17,000877,3.87,387109.06,318453.06,315144.73,340463.69
19,21.44,2016-01-29,21.75,20.6,22.915,24.035,21.814,23.02,23.88,168892.86,21.09,20.53,62351.58,20.66,3.88,0.8,000777,2.48,114623.22,108836.83,96776.62,95049.78
73,23.29,2016-04-22,23.29,22.68,24.615,25.266,23.812,23.88,24.2,122651.23,22.7,22.68,40793.48,22.68,1.35,0.31,000777,1.48,105616.22,161043.45,87405.4,56599.61
142,22.38,2016-08-02,22.5,22.03,23.653,24.164,22.724,23.0,23.12,86468.67,22.12,22.0,35638.29,22.03,0.99,0.22,000777,1.09,81622.22,116566.29,86391.8,41888.97
242,16.04,2016-12-29,16.21,15.87,15.959,16.508,15.792,16.64,16.86,244864.75,16.04,15.87,108131.18,15.93,2.17,0.34,601088,0.15,156660.62,180741.68,155619.76,244864.75
288,16.51,2017-03-13,16.54,16.21,16.732,16.954,16.636,18.36,18.36,211978.48,16.48,16.21,105436.46,16.38,0.67,0.11,601088,0.1,129487.02,138138.17,138236.08,156874.52
86,37.06,2016-05-12,37.27,34.61,40.309,41.054,37.84,39.45,40.68,50138.19,36.85,34.61,22435.21,35.41,1.67,0.61,002761,8.92,36353.83,47168.92,29889.43,26764.6
165,44.48,2016-09-02,44.55,42.7,44.055,43.284,44.114,45.8,46.29,25675.42,41.96,41.71,4244.44,43.6,1.18,0.52,002761,1.86,15156.61,18940.66,9298.56,10256.38
44,53.64,2017-01-17,55.0,49.32,59.766,63.183,55.688,61.03,61.03,17695.86,51.59,49.32,3.0,51.29,4.01,2.07,300566,8.89,15965.26,18461.82,14231.9,17695.86
19,25.67,2016-02-01,25.67,24.32,27.931,30.223,25.374,27.8,28.06,80710.95,25.26,24.32,12793.98,24.33,5.16,1.26,002143,5.03,33427.25,32657.99,37703.72,80710.95
35,22.53,2016-03-01,22.76,21.29,25.662,25.635,24.024,24.41,24.96,25659.14,22.53,21.29,8138.63,21.6,4.64,1.0,002143,1.52,25657.95,27161.01,24363.36,24468.96
72,25.77,2016-04-22,26.27,25.02,27.353,27.857,26.21,27.5,27.76,20381.95,25.2,24.53,7745.57,25.35,1.58,0.4,002143,0.54,16670.43,24015.99,15244.08,8607.96
107,22.38,2016-06-15,22.5,21.36,23.417,23.574,22.762,23.72,23.9,60357.98,21.69,21.31,15788.76,21.58,3.23,0.7,002143,1.05,27602.17,19375.76,21145.58,16827.84
141,23.4,2016-08-02,23.5,23.03,24.651,24.419,23.37,24.6,24.77,20103.16,23.4,23.03,11039.42,23.03,1.3,0.3,002143,0.6,47375.06,35713.91,29246.86,13507.3
35,52.6,2017-02-23,53.8,49.28,49.508,46.953,50.54,52.6,54.0,54849.82,49.81,48.81,11862.03,49.67,6.67,3.29,002836,27.42,41856.79,47270.14,37559.6,54849.82
36,13.32,2016-03-01,13.32,12.05,13.55,12.911,12.964,14.36,14.76,187698.84,13.32,12.05,91519.17,12.05,9.99,1.21,600012,1.24,145084.5,171260.87,129531.53,144838.7
173,12.38,2016-09-14,12.4,12.04,13.014,13.381,12.604,12.67,12.84,41338.77,12.13,12.04,16988.79,12.18,1.48,0.18,600012,0.26,48412.75,47052.69,58025.32,30217.4
231,15.95,2016-12-14,16.03,14.99,15.756,16.526,15.578,17.28,17.47,95020.02,15.95,14.99,47275.76,14.99,6.33,0.95,600012,0.63,80968.22,102019.23,84161.23,73696.21
